鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
竹北市,房地(土地+建物),新竹縣竹北市光明九路61~90號,6.18,商,,,1051201,土地1建物1車位0,七層,九層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0940603,41.33,1,1,1,有,有,3000000,72586,,0.0,0,,RPRTMLNJJHMFFBJ58CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市中正東路211~240號,31.24,住,,,1051201,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0841028,262.66999999999996,7,1,4,有,有,13600000,51776,坡道機械,0.0,0,,RPQPMLOJJHMFFBJ18CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市自強北路61~90號,33.32,住,,,1051101,土地1建物1車位2,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941018,209.23000000000002,3,2,2,有,有,11180000,53434,坡道平面,0.0,0,,RPPVNLOJJHMFFBJ78CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市十興二街121~150號,28.79,住,,,1051201,土地1建物1車位2,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050729,189.3,3,2,2,有,有,10910000,62232,坡道平面,54.16,2500000,,RPUSMLPJJHMFFBJ98CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市科大二街151~180號,31.41,住,,,1051001,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050907,162.71,3,2,2,有,有,10530000,73758,坡道平面,34.86,1100000,,RPVOMLTJJHMFFBJ09CA
新埔鎮,土地,義民段1621~1650地號,2550.0,,特定農業區,農牧用地,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22635470,8877,,0.0,0,,RPXPMLNKJHMFFBJ88CA
關西鎮,房地(土地+建物),新竹縣關西鎮學前街96巷1~30號,186.56,住,,,1051201,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040416,361.16,6,2,4,有,無,13500000,37380,,0.0,0,,RPROMLTKJHMFFBJ78CA
湖口鄉,土地,北安段571~600地號,1206.8,,一般農業區,農牧用地,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1950000,1616,,0.0,0,,RPPNMLOJJHMFFDJ08CA
新豐鄉,房地(土地+建物),新竹縣新豐鄉仁愛街55巷1~30號,101.29,住,,,1051201,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040220,228.27,4,2,4,有,無,8300000,36360,,0.0,0,,RPSOMLQJJHMFFDJ68CA
湖口鄉,土地,北安段241~270地號,4074.0,,一般農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14600000,3584,,0.0,0,,RPPNMLLKJHMFFDJ87CA
湖口鄉,建物,新竹縣湖口鄉光明街31~60號,0.0,,,,1051201,土地0建物1車位0,全,三層,透天厝,住家用,加強磚造,,47.1,5,2,3,有,無,700000,14862,,0.0,0,2親等內買賣,RPTNMLTJJHMFFDJ09DA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮東峰路496巷1~30號,71.21,,特定農業區,甲種建築用地,1051101,土地7建物1車位1,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1041120,177.84,3,2,3,有,無,10060000,56568,一樓平面,0.0,0,,RPPNMLNKJHMFFCJ18EA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮東峰路496巷1~30號,73.2,,特定農業區,甲種建築用地,1051101,土地7建物1車位1,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1041120,185.53,3,3,3,有,無,10100000,54439,一樓平面,0.0,0,,RPUOMLKLJHMFFCJ58EA
新埔鎮,土地,石頭坑段751~780地號,73.0,,山坡地保育區,交通用地,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,277400,3800,,0.0,0,向國有財產局承購之案件。,RPVPMLNLJHMFFBJ88DA
芎林鄉,土地,上德段271~300地號,458.87,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,27348652,59600,,0.0,0,縣府區段徵收區土地標售，權利人有2人,RPUNMLMJKHMFFCJ58EA
新埔鎮,房地(土地+建物),新竹縣新埔鎮大享路130巷1~30號,338.5,,山坡地保育區,丙種建築用地,1050901,土地6建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1041112,227.01,4,2,5,有,有,18600000,81935,,0.0,0,,RPVNMLMKJHMFFBJ48DA
湖口鄉,房地(土地+建物),新竹縣湖口鄉安宅十街61~90號,83.0,,工業區,丁種建築用地,1051201,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1050310,358.45,21,0,21,有,無,19400000,54122,,0.0,0,,RPQPMLTJJHMFFDJ88CA
峨眉鄉,土地,富興段水流東小段181~210地號,2339.33,,山坡地保育區,農牧用地,1051201,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,920000,393,,0.0,0,親友間之交易。,RPPNMLLJKHMFFCJ77CA
峨眉鄉,土地,富興段水流東小段331~360地號,4191.0,,山坡地保育區,農牧用地,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1640000,391,,0.0,0,親友間之交易。,RPQNMLLJKHMFFCJ87CA
峨眉鄉,土地,富興段水流東小段181~210地號,5652.0,,山坡地保育區,農牧用地,1051201,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2210000,391,,0.0,0,親友間之交易。,RPRNMLLJKHMFFCJ97CA
峨眉鄉,土地,富興段水流東小段181~210地號,4380.0,,山坡地保育區,農牧用地,1051201,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1710000,390,,0.0,0,親友間之交易。,RPSNMLLJKHMFFCJ08CA
峨眉鄉,土地,富興段水流東小段241~270地號,16626.0,,山坡地保育區,農牧用地,1051201,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6500000,391,,0.0,0,親友間之交易。,RPTNMLLJKHMFFCJ18CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮北興路一段560巷1~30號,16.36,住,,,1051201,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0991231,95.39,3,2,2,有,有,5500000,57658,坡道平面,0.0,0,,RPRNMLRJJHMFFCJ48CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮中興路二段152巷37弄1~30號,33.24,,特定農業區,甲種建築用地,1051101,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890427,132.57999999999998,3,2,2,有,有,5100000,38467,坡道平面,0.0,0,,RPSNMLRJJHMFFCJ58CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮員山路276巷8弄1~30號,80.92,,特定農業區,甲種建築用地,1051101,土地4建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1041123,280.39,5,3,7,有,無,17500000,62413,,0.0,0,含增建或未登記建物。,RPTNMLRJJHMFFCJ68CA
竹東鎮,土地,柯子湖段31~60地號,559.0,工,,,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3380000,6047,,0.0,0,,RPSNMLPJJHMFFCJ38CA
寶山鄉,土地,雙峰段301~330地號,7531.19,,山坡地保育區,農牧用地,1051101,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,36450880,4840,,0.0,0,,RPSNMLMKJHMFFCJ18CA
寶山鄉,土地,雙峰段301~330地號,4133.82,,山坡地保育區,農牧用地,1051101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20007680,4840,,0.0,0,,RPTNMLMKJHMFFCJ28CA
寶山鄉,土地,雙峰段301~330地號,81.01,,山坡地保育區,農牧用地,1051101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,294000,3629,,0.0,0,,RPUNMLMKJHMFFCJ38CA
寶山鄉,土地,雙峰段301~330地號,839.58,,山坡地保育區,農牧用地,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3047640,3630,,0.0,0,,RPVNMLMKJHMFFCJ48CA
寶山鄉,土地,雙峰段301~330地號,888.72,,山坡地保育區,農牧用地,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4301440,4840,,0.0,0,,RPWNMLMKJHMFFCJ58CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮中興路一段147巷24弄1~30號,64.86,,山坡地保育區,丙種建築用地,1051201,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,95.54,4,3,2,有,無,3600000,37681,,0.0,0,,RPSNMLNKJHMFFCJ28CA
寶山鄉,土地,大壢段下大壢小段511~540地號,31354.0,,山坡地保育區,林業用地,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,42641440,1360,,0.0,0,依土地法第34條之1出售之土地,RPTNMLRKJHMFFCJ78CA
北埔鄉,土地,神木段961~990地號,8004.6,,山坡地保育區,農牧用地,1051201,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6800000,850,,0.0,0,,RPVQMLRKJHMFFCJ66CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮和江街368巷1~30號,21.01,商,,,1051101,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041204,167.96,3,2,2,有,無,7470000,44475,坡道平面,0.0,900000,,RPXNMLTKJHMFFCJ76CA
芎林鄉,土地,上德段91~120地號,482.09,住,,,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,28781255,59701,,0.0,0,向政府機關承購之案件。,RPROMLTKJHMFFCJ88CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮和江街361~390號,21.83,商,,,1051101,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041204,173.5,3,2,2,有,有,7700000,44380,一樓平面,0.0,1000000,,RPRNMLPLJHMFFCJ48CA
